title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Area 51,NA,5000000,Horror,Thriller,Science Fiction,,,91,Oren Peli,56,110,14,Sandra Staggs,46,Glenn Campbell,7888,117,Jelena Nik,0,alien|alien abduction|conspiracy|secret base|ufo,English,USA,21,4.2,0
Argo,NA,44500000,Drama,Thriller,,,,120,Ben Affleck,656,0,650,Scoot McNairy,1000,Clea DuVall,452465,3133,Tate Donovan,1,1970s|cia|f word|u.s. embassy|year 1979,English,USA,660,7.7,89000
Arlington Road,NA,21500000,Drama,Thriller,Mystery,,,117,Mark Pellington,155,89,442,Spencer Treat Clark,12000,Jeff Bridges,69980,13576,Hope Davis,1,death|fbi|fbi agent|neighbor|professor,English,USA,541,7.2,0
Armageddon,NA,140000000,Action,Thriller,Science Fiction,Adventure,,151,Michael Bay,167,0,537,Steve Buscemi,13000,Bruce Willis,322395,26029,Will Patton,0,asteroid|astronaut|bomb|meteorite|outer space,English,USA,12000,6.6,11000
Armored,NA,20000000,Action,Crime,Drama,Thriller,,88,Nimród Antal,107,190,163,Fred Ward,137000,Andrew Fiscella,26236,137712,Lorna Raver,6,armored truck|blood splatter|die hard scenario|guard|heist,English,USA,459,5.7,0
Army of Darkness,"{'id': 1960, 'name': 'Evil Dead Collection', 'poster_path': '/eWFADubShlTEUiNsPcN6BMOKakr.jpg', 'backdrop_path': '/jrLLRe7pctP1aFDRuD9mt59YGHX.jpg'}",11000000,Fantasy,Horror,Comedy,,,81,Sam Raimi,221,0,795,Bridget Fonda,901,Patricia Tallman,128850,3913,Embeth Davidtz,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,English,USA,888,7.6,10000
Arn: The Knight Templar,"{'id': 86797, 'name': 'Arn collection', 'poster_path': '/u0kbnJEC9w7amzPx0EZDv3NEyOG.jpg', 'backdrop_path': '/kRA2bnwEl2v5FaDwPQpnQyQtsZN.jpg'}",25000000,Action,Adventure,Drama,Romance,,139,Peter Flinth,34,5,292,Michael Nyqvist,908,Gustaf Skarsgård,18041,2762,Vincent Perez,1,first part|holy land|knight templar|monastery|sword and shield,Swedish,Sweden,690,6.6,0
Around the World in 80 Days,NA,110000000,Action,Adventure,Comedy,,,120,Frank Coraci,188,153,447,Steve Coogan,1000,Jim Broadbent,68720,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,English,USA,1000,5.8,0
Around the World in 80 Days,NA,110000000,Action,Adventure,Comedy,,,120,Frank Coraci,188,153,447,Steve Coogan,1000,Jim Broadbent,68722,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,English,USA,1000,5.8,0
Arthur,"{'id': 170754, 'name': 'Arthur Collection', 'poster_path': '/bdRCMpvyTX1zPR28GHcFjjA3LHt.jpg', 'backdrop_path': '/c0XFWONQ39hfOCJIg3FUuRoGgH0.jpg'}",7000000,Comedy,Drama,Romance,,,97,NA,3,NA,12,Melissa Altro,51,Bruce Dinsmore,8495,108,Daniel Brochu,0,based on children's book|best friend|character name in title|friend|one word title,English,Canada,21,7.4,301
Arthur,NA,40000000,Comedy,Romance,,,,110,NA,3,NA,12,Melissa Altro,51,Bruce Dinsmore,8495,108,Daniel Brochu,0,based on children's book|best friend|character name in title|friend|one word title,English,Canada,21,7.4,301
Arthur and the Invisibles,"{'id': 85817, 'name': 'Arthur and the Invisibles Collection', 'poster_path': '/lpKNbnUpP0h0cnVwC1LaE9YJB3U.jpg', 'backdrop_path': '/e8Q363orc1wi02TSSoDDlil2qXh.jpg'}",86000000,Adventure,Fantasy,Animation,Family,,94,Luc Besson,101,0,14,Adam LeFevre,563,Mia Farrow,25843,683,Penny Balfour,0,boy|debt|garden|princess|treasure,English,France,80,6,941
"As Above, So Below",NA,5000000,Horror,Thriller,,,,93,John Erick Dowdle,196,66,161,Edwin Hodge,1000,Ben Feldman,49948,1410,Perdita Weeks,0,archeologist|catacomb|found footage|paris france|philosopher's stone,English,USA,200,6.1,14000
As Good as It Gets,NA,50000000,Comedy,Romance,,,,139,James L. Brooks,156,274,285,Yeardley Smith,625,Lupe Ontiveros,224671,1474,Shirley Knight,0,dog|friendship|neighbor|unlikely friendship|writer,English,USA,440,7.7,11000
Ask Me Anything,NA,950000,Drama,Mystery,Thriller,,,100,Allison Burnett,8,12,354,Gia Mantegna,529,Kimberly Williams-Paisley,7870,2468,Cathryn de Prume,1,bare breasts|female protagonist,English,USA,413,6,884
Assassins,NA,50000000,Action,Adventure,Crime,Thriller,,132,Richard Donner,61,503,282,Sylvester Stallone,45000,Muse Watson,62981,58528,Kelly Rowan,0,assassin|floppy disk|modem|rival|russian,English,France,13000,6.3,0
Assault on Precinct 13,NA,150000,Action,Crime,,,,91,Jean-François Richet,152,25,431,Drea de Matteo,954,Brian Dennehy,65979,3148,Hugh Dillon,1,criminal|mobster|new year's eve|police|sergeant,English,USA,739,6.3,999
Assault on Precinct 13,NA,30000000,Thriller,,,,,109,Jean-François Richet,152,25,431,Drea de Matteo,954,Brian Dennehy,65979,3148,Hugh Dillon,1,criminal|mobster|new year's eve|police|sergeant,English,USA,739,6.3,999
Asterix at the Olympic Games,"{'id': 2396, 'name': 'Asterix and Obelix Collection', 'poster_path': '/f6C6tDEU3aJndJokSLvYLuwVt0k.jpg', 'backdrop_path': '/vm0i4KIscrTiUsri21z1SOIG4fo.jpg'}",97250400,Fantasy,Adventure,Comedy,Family,,116,Frédéric Forestier,33,0,141,Santiago Segura,936,Alain Delon,20567,1609,Vanessa Hessler,1,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,French,France,276,5.1,291
Astro Boy,NA,65000000,Animation,Action,Family,Science Fiction,,94,David Bowers,138,42,668,Charlize Theron,12000,Nicolas Cage,25681,23365,Dee Bradley Baker,1,betrayal|futuristic|gladiator|robot|scientist,English,Hong Kong,9000,6.3,0
ATL,NA,20000000,Drama,,,,,105,Chris Robinson,54,49,104,Adam Boyer,680,T.I.,8522,1538,Malika,0,high school|rollerskating rink|spelman college|twin|voice over narration,English,USA,503,6,874
Atlantis: The Lost Empire,"{'id': 100965, 'name': 'Atlantis Collection', 'poster_path': '/l9wffaf3zMw2fOYDnMrU479IeBv.jpg', 'backdrop_path': '/vJOfi2m9yaQGu7LPRcBL44KDU7r.jpg'}",120000000,Animation,Family,Adventure,Science Fiction,,95,Gary Trousdale,146,21,503,Jim Varney,12000,Leonard Nimoy,72591,15237,Cree Summer,0,atlantis|crew|expedition|journal|museum,English,USA,802,6.8,0
Atonement,NA,30000000,Drama,Romance,,,,123,Joe Wright,316,456,286,Alfie Allen,19000,Benedict Cumberbatch,192930,20499,Brenda Blethyn,1,death of sister|dying|loss of virginity|septicemia|sex,English,UK,1000,7.8,12000
Attack the Block,NA,14350531,Action,Comedy,Science Fiction,,,88,Joe Cornish,399,115,304,Luke Treadaway,1000,John Boyega,82331,2011,Jodie Whittaker,6,alien|alien invasion|apartment|creature|gang,English,UK,305,6.6,18000
August,NA,1203000,Drama,,,,,108,Eldar Rapaport,10,0,43,Adrian Gonzalez,141,Murray Bartlett,1262,320,Edward Conna,1,apartment|gay parent|job interview|male pubic hair|pubic hair,English,USA,69,6.1,224
August Rush,NA,25000000,Family,Drama,Music,,,114,Kirsten Sheridan,148,59,403,Aaron Staton,49000,Robin Williams,87331,50927,Marian Seldes,0,baby|cellist|genius|prodigy|rhapsody,English,USA,702,7.5,18000
August: Osage County,NA,25000000,Comedy,Drama,,,,121,John Wells,322,53,8000,Meryl Streep,19000,Benedict Cumberbatch,67797,39690,Julia Roberts,3,based on play|incestuous relationship|pedophilia|secret|teenage daughter,English,USA,11000,7.3,30000
Austin Powers in Goldmember,"{'id': 1006, 'name': 'Austin Powers Collection', 'poster_path': '/9fg3fFqjr2ofmgjyWKfKgv6ZLu0.jpg', 'backdrop_path': '/3QJMI8nqQcwU5JBPy26m8TUXtTN.jpg'}",63000000,Comedy,Crime,Science Fiction,,,94,Jay Roach,194,116,481,Josh Zuckerman,645,Verne Troyer,162909,2725,Robert Wagner,2,fem bot|prison|seductive fembot|spy|time travel,English,USA,522,6.2,0
Austin Powers: International Man of Mystery,"{'id': 1006, 'name': 'Austin Powers Collection', 'poster_path': '/9fg3fFqjr2ofmgjyWKfKgv6ZLu0.jpg', 'backdrop_path': '/3QJMI8nqQcwU5JBPy26m8TUXtTN.jpg'}",16500000,Science Fiction,Comedy,Crime,,,94,Jay Roach,129,116,481,Charles Napier,8000,Will Ferrell,183425,10557,Robert Wagner,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,English,USA,503,7,0
Austin Powers: The Spy Who Shagged Me,"{'id': 1006, 'name': 'Austin Powers Collection', 'poster_path': '/9fg3fFqjr2ofmgjyWKfKgv6ZLu0.jpg', 'backdrop_path': '/3QJMI8nqQcwU5JBPy26m8TUXtTN.jpg'}",33000000,Adventure,Comedy,Crime,Science Fiction,,95,Jay Roach,199,116,481,Verne Troyer,45000,Muse Watson,181225,47203,Robert Wagner,1,penis joke|phallic image|sexy agent|spy|volcano hideout,English,USA,645,6.6,0
Australia,NA,130000000,Drama,,,,,165,Baz Luhrmann,245,1000,165,Bryan Brown,309,Essie Davis,102338,921,Eddie Baroo,0,australia|cattle|darwin|drover|japanese,English,Australia,284,6.6,0
Auto Focus,NA,7000000,Drama,Crime,,,,104,Paul Schrader,97,261,617,Michael McKean,783,Ed Begley Jr.,11387,2684,Kurt Fuller,3,friendship|photography|radio|sex addict|video,English,USA,658,6.6,357
Automata,NA,7000000,Thriller,Science Fiction,,,,110,Gabe Ibáñez,136,19,537,Robert Forster,1000,Birgitte Hjort Sørensen,41638,2829,Melanie Griffith,0,child hitman|dystopia|future|robot|self repair,English,Bulgaria,889,6.1,13000
Autumn in New York,NA,65000000,Drama,Romance,,,,103,Joan Chen,101,643,586,Sam Trammell,24000,J.K. Simmons,20201,26938,Elaine Stritch,2,may december romance|new york|new york city|rockefeller center|title directed by female,English,USA,1000,5.5,0
Avatar,"{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/nslJVsO58Etqkk17oXMuVK4gNOF.jpg', 'backdrop_path': '/9s4BM48NweGFrIRE6haIul0YJ9f.jpg'}",237000000,Action,Adventure,Fantasy,Science Fiction,,162,James Cameron,723,0,855,Joel David Moore,1000,CCH Pounder,886204,4834,Wes Studi,0,avatar|future|marine|native|paraplegic,English,USA,936,7.9,33000
Avengers: Age of Ultron,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/qJawKUQcIBha507UahUlX0keOT7.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",280000000,Action,Adventure,Science Fiction,,,141,Joss Whedon,635,0,19000,Robert Downey Jr.,26000,Chris Hemsworth,462669,92000,Scarlett Johansson,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,USA,21000,7.5,118000
AVP: Alien vs. Predator,"{'id': 115762, 'name': 'AVP Collection', 'poster_path': '/zrApSsUX9i0qVntcCD0Pp55TdCy.jpg', 'backdrop_path': '/c5ccDw4lcTUnYGdCxc2yEl8PjTk.jpg'}",70000000,Adventure,Science Fiction,Action,,,101,Paul W.S. Anderson,247,545,727,Colin Salmon,886,Sanaa Lathan,143628,3222,Raoul Bova,0,alien|antarctica|predator|pyramid|satellite,English,USA,766,5.6,0
Awake,NA,86000000,Thriller,Crime,Mystery,,,84,Joby Harold,133,8,896,Fisher Stevens,4000,Hayden Christensen,63216,6954,Denis O'Hare,0,anesthetic|anesthetic awareness|heart|heart surgery|surgery,English,USA,922,6.5,0
Away We Go,NA,17000000,Drama,Comedy,Romance,,,98,Sam Mendes,217,0,374,Jim Gaffigan,925,Catherine O'Hara,45992,1997,Carmen Ejogo,2,baby|children|friend|love|road trip,English,USA,472,7.1,7000
AWOL-72,NA,3000000,Thriller,,,,,79,Christian Sesma,6,9,648,Brooke Newton,904,Bokeem Woodbine,520,4092,Brett Wagner,4,police officer|police officer taken hostage,English,USA,779,3.9,398
Ayurveda: Art of Being,NA,300000,Documentary,,,,,101,Pan Nalin,15,95,NA,NA,NA,NA,341,0,NA,0,eastern philosophy|healing|india|life,English,India,NA,7.6,379
Baahubali: The Beginning,"{'id': 350309, 'name': 'Bahubali Collection', 'poster_path': '/4YAX6AIFsU7gCCWAxoQ5ajdwSIN.jpg', 'backdrop_path': '/15RXyQFy6g2Wp7FH7Lp4RPEcxjX.jpg'}",40000000,Action,Adventure,History,War,,159,S.S. Rajamouli,44,50,72,Anushka Shetty,218,Tamannaah Bhatia,62756,554,Prabhas,1,ancient india|dual role|good versus evil|hindu|kingdom,Telugu,India,133,8.4,21000
Babe,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/jgnah0k4AumfcZE4HHMJywYHvG6.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",30000000,Fantasy,Drama,Comedy,Family,,89,Chris Noonan,79,108,204,Christine Cavanaugh,405,Miriam Margolyes,94435,1185,Roscoe Lee Browne,0,dog|farmer|pig|sheep|sheepdog,English,Australia,368,6.8,5000
Babe: Pig in the City,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/jgnah0k4AumfcZE4HHMJywYHvG6.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",90000000,Adventure,Comedy,Drama,Family,Fantasy,92,George Miller,61,750,231,Elizabeth Daily,1000,Adam Goldberg,24868,2521,Glenne Headly,0,animal|farm|farmer|hotel|pig,English,Australia,971,5.8,964
Babel,NA,25000000,Drama,,,,,143,Alejandro G. Iñárritu,285,0,51,Harriet Walter,11000,Brad Pitt,243799,11248,Dermot Crowley,3,american|destiny|mexican border|multiple perspectives|muslim,English,France,119,7.5,0
Baby's Day Out,NA,50000000,Action,Adventure,Comedy,Family,,99,Patrick Read Johnson,22,32,479,Lara Flynn Boyle,1000,Joe Mantegna,33186,2949,Cynthia Nixon,1,baby|baby boy|kidnapping|kidnapping a child|taxi,English,USA,619,5.9,0
Baby Boy,NA,16000000,Crime,Drama,Romance,,,130,John Singleton,41,309,522,Snoop Dogg,939,Mo'Nique,9566,3107,Angell Conwell,2,cartoon on tv|family relationships|physical abuse|single parent|two word title,English,USA,881,6.4,1000
Baby Geniuses,NA,12000000,Science Fiction,Comedy,Family,,,97,Bob Clark,45,84,782,Dom DeLuise,899,Kathleen Turner,19547,2936,Ruby Dee,2,baby|boy|science|scientist|toddler,English,USA,842,2.5,0
Baby Mama,NA,30000000,Comedy,,,,,99,Michael McCullers,145,5,966,Amy Poehler,2000,Tina Fey,34079,6930,Romany Malco,2,baby|book|cartoon on tv|female protagonist|male anorexia,English,USA,1000,6,0
Babylon A.D.,NA,70000000,Action,Adventure,Science Fiction,Thriller,,101,Mathieu Kassovitz,164,326,510,Charlotte Rampling,14000,Vin Diesel,81523,15990,David Belle,0,box office flop|convent|mercenary|new york|pregnant,English,France,844,5.6,0
Bachelorette,NA,3000000,Comedy,Romance,,,,87,Leslye Headland,156,21,416,Adam Scott,4000,Kirsten Dunst,37156,8353,Andrew Rannells,3,bachelorette party|drug use|high school|overdose|wedding dress,English,USA,3000,5.3,0
Back to the Future,"{'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg', 'backdrop_path': '/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg'}",19000000,Adventure,Comedy,Science Fiction,Family,,116,Robert Zemeckis,198,0,459,Thomas F. Wilson,1000,Lea Thompson,732212,3230,J.J. Cohen,0,clock tower|delorean|future|time travel|time travel comedy,English,USA,690,8.5,39000
Back to the Future Part II,"{'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg', 'backdrop_path': '/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg'}",40000000,Adventure,Comedy,Family,Science Fiction,,108,Robert Zemeckis,125,0,690,Jeffrey Weissman,1000,Lea Thompson,340085,3660,Thomas F. Wilson,0,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,English,USA,869,7.8,12000
Back to the Future Part III,"{'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg', 'backdrop_path': '/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg'}",40000000,Adventure,Comedy,Family,Science Fiction,,118,Robert Zemeckis,111,0,690,Jeffrey Weissman,1000,Lea Thompson,283480,3986,Thomas F. Wilson,0,band|dog|letter|time machine|tombstone,English,USA,869,7.4,0
Bad Boys,"{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}",19000000,Action,Comedy,Crime,Thriller,,118,Michael Bay,63,0,244,Tchéky Karyo,10000,Will Smith,172405,11013,Theresa Randle,0,drugs|heroin|murder|police|witness,English,USA,345,6.8,0
Bad Boys,NA,0,Crime,Drama,Thriller,,,104,Michael Bay,63,0,244,Tchéky Karyo,10000,Will Smith,172405,11013,Theresa Randle,0,drugs|heroin|murder|police|witness,English,USA,345,6.8,0
Bad Boys II,"{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}",130000000,Adventure,Action,Comedy,Thriller,Crime,147,Michael Bay,94,0,877,Henry Rollins,10000,Will Smith,178126,12954,Jordi Mollà,1,cuba|dea|drugs|money|undercover,English,USA,898,6.6,0
Bad Company,NA,70000000,Action,Adventure,Comedy,Thriller,,116,Joel Schumacher,128,541,384,Brooke Smith,12000,Anthony Hopkins,39659,12993,Garcelle Beauvais,2,cia|cia agent|terrorist|twin|twin brother,English,USA,405,5.6,792
Bad Grandpa,"{'id': 17178, 'name': 'Jackass Collection', 'poster_path': '/olpnvtLgoScLiCg3YHJ3f27F98f.jpg', 'backdrop_path': '/lidPLbyE1JCUacEDOzkTCncCPBL.jpg'}",15000000,Comedy,,,,,92,Jeff Tremaine,157,79,27,Georgina Cates,925,Jackson Nicoll,77724,1018,Grasie Mercedes,0,child beauty pageant|grandson|hidden camera|jackass|road trip,English,USA,38,6.6,26000
Bad Moms,NA,20000000,Comedy,,,,,100,Jon Lucas,81,24,851,Jay Hernandez,15000,Mila Kunis,4654,18786,Jada Pinkett Smith,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,English,USA,1000,6.7,18000
Bad Moms,NA,20000000,Comedy,,,,,100,Jon Lucas,81,24,851,Jay Hernandez,15000,Mila Kunis,4654,18786,Jada Pinkett Smith,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,English,USA,1000,6.7,18000
Bad Santa,"{'id': 423173, 'name': 'Bad Santa Collection', 'poster_path': '/2OkB4GagVy1n7M8Q94FRzsOErPE.jpg', 'backdrop_path': '/plVMZOMBsHUNNkCQEoY1rW0B5Qb.jpg'}",23000000,Drama,Comedy,Crime,,,91,Terry Zwigoff,195,72,566,Tony Cox,1000,Bernie Mac,107815,3151,Alex Borstein,2,bartender|christmas|christmas eve|department store|drink,English,USA,624,7.1,10000
Bad Teacher,NA,20000000,Comedy,,,,,92,Jake Kasdan,286,52,384,John Michael Higgins,3000,Justin Timberlake,160418,5547,Phyllis Smith,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,English,USA,957,5.7,16000
Bad Words,NA,9500000,Comedy,,,,,88,Jason Bateman,126,0,322,Philip Baker Hall,628,Beth Grant,38459,2061,Patricia Belcher,0,directed by star|indian american|spelling|spelling bee|two word title,English,USA,497,6.7,0
Baggage Claim,NA,8500000,Comedy,,,,,96,David E. Talbert,52,68,1000,Christina Milian,3000,Djimon Hounsou,7098,8097,Boris Kodjoe,9,woman wearing only a man's shirt,English,USA,1000,5,0
Bait,NA,35000000,Action,Thriller,Crime,,,119,Kimble Rendall,145,0,174,Cariba Heine,465,Alex Russell,11482,1361,Richard Brancatisano,1,great white shark|shark|supermarket|swimming|tsunami,English,Australia,351,5.2,0
Bait,NA,30000000,Action,Horror,Thriller,,,93,Kimble Rendall,145,0,174,Cariba Heine,465,Alex Russell,11482,1361,Richard Brancatisano,1,great white shark|shark|supermarket|swimming|tsunami,English,Australia,351,5.2,0
Ballistic: Ecks vs. Sever,NA,70000000,Action,Adventure,Thriller,,,91,Wych Kaosayananda,92,8,298,Sandrine Holt,349,Talisa Soto,16761,1846,Gregg Henry,1,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,English,USA,324,3.6,391
Bambi,"{'id': 87250, 'name': 'Bambi Collection', 'poster_path': '/b941y7oiWBXJZaoWemW4exlpDxf.jpg', 'backdrop_path': '/pdeV9HC6ECDvUfICMWeMHvWsCIa.jpg'}",858000,Animation,Drama,Family,,,70,James Algar,116,11,8,Donnie Dunagan,16,Sam Edwards,94225,63,Ann Gillis,0,animal|bambi|deer|forest|hunter,English,USA,12,7.4,0
Bananas,NA,2000000,Comedy,,,,,82,Woody Allen,40,11000,167,Charlotte Rae,11000,Woody Allen,27646,11700,Louise Lasser,3,fictitious country|latin america|president|rebellion|reference to fidel castro,English,USA,430,7.1,0
Bandidas,NA,35000000,Action,Comedy,Western,Crime,,93,Joachim Rønning,58,18,324,Sam Shepard,4000,Salma Hayek,28848,5377,Dwight Yoakam,2,bank|cleavage|farmer|female gunfighter|mexico,English,France,820,5.7,0
Bandits,NA,75000000,Action,Comedy,Crime,Romance,,123,Barry Levinson,132,272,193,Brían F. O'Byrne,13000,Bruce Willis,57038,13934,Azura Skye,2,bank manager|hypochondriac|love triangle|prison|television,English,USA,450,6.6,0
Bandslam,NA,20000000,Comedy,Drama,Family,Music,,111,Todd Graff,79,650,181,Charlie Saxton,690,Scott Porter,11958,1573,Ryan Donowho,3,battle of the bands|high school|rock 'n' roll|school|teenager,English,USA,224,6.4,1000
Bang Bang Baby,NA,1000000,Science Fiction,Drama,Music,,,90,Jeffrey St. Jules,16,0,36,Chloe Rose,57,Boyd Banks,137,231,Kristian Bruun,2,NA,English,Canada,40,5.4,48
Bangkok Dangerous,NA,45000000,Action,Crime,Thriller,,,99,Danny Pang,125,15,61,Charlie Yeung,12000,Nicolas Cage,48245,12166,James With,1,deaf|hitman|nightclub|pickpocket|rules of profession,English,USA,68,5.4,0
Banshee Chapter,NA,950000,Horror,Thriller,,,,87,Blair Erickson,78,0,302,Katia Winter,696,Monique Candelaria,6265,1618,Michael McMillian,1,experiment|lsd|missing friend|mk ultra|radio broadcast,English,Germany,371,5.5,2000
Barbarella,NA,9000000,Science Fiction,,,,,98,Roger Vadim,107,35,170,David Hemmings,949,Jane Fonda,24436,1510,Milo O'Shea,2,41st century|angel|future|laser gun|space opera,English,France,178,5.9,0
Barbecue,NA,6000000,Comedy,,,,,98,Eric Lavaine,17,0,5,Julie Engelbrecht,186,Lambert Wilson,1673,253,Lionel Abelanski,1,NA,French,France,41,6.1,348
Barbershop,"{'id': 176097, 'name': 'Barbershop Collection', 'poster_path': '/glSSzT4jwKblxxGXN0lHWxbyhUH.jpg', 'backdrop_path': '/lCvX9g4vvxFUgJGNlFwfkZJWGiB.jpg'}",12000000,Comedy,Drama,,,,102,Tim Story,91,167,436,Jason George,656,Sean Patrick Thomas,22147,2754,Cedric the Entertainer,0,barber|barbershop|blaxploitation|loan shark|theft,English,USA,528,6.3,770
Barfi,NA,4437508,Drama,Romance,Comedy,,,155,Shekar,1,0,0,Diganth,5,Bhama,57,5,Dileep Raj,2,NA,Kannada,India,0,7.1,2
Barney's Version,NA,30000000,Comedy,Drama,,,,134,Richard J. Lewis,193,12,329,Atom Egoyan,891,Mark Addy,21086,1873,Paul Gross,2,ex wife|guest|marriage|memory|montreal,English,Canada,460,7.3,0
Barnyard,NA,51000000,Animation,Comedy,Family,,,90,Steve Oedekerk,98,176,523,Wanda Sykes,677,Rob Paulsen,21396,2055,Maurice LaMarche,1,cow|farmer|howl|howling at the moon|vegetarian,English,Germany,560,5.6,605
Barry Lyndon,NA,11000000,Drama,Romance,War,,,184,Stanley Kubrick,124,0,111,Steven Berkoff,385,Ryan O'Neal,101627,1104,Hardy Krüger,0,18th century|england|rise and fall|rural setting|wealth,English,UK,293,8.1,0
Basic,NA,50000000,Action,Drama,Mystery,Thriller,Crime,98,John McTiernan,131,323,511,Harry Connick Jr.,933,Connie Nielsen,49926,3357,Tim Daly,0,2000s|army|military crime|necklace yanked off|panama,English,Germany,631,6.5,0
Basic Instinct 2,"{'id': 86336, 'name': 'Basic Instinct Collection', 'poster_path': '/hiM5EvFgjFboZtPMY5vFjhNnRQc.jpg', 'backdrop_path': '/o5rgryRLwlOApsO3toqpqhhdS7H.jpg'}",70000000,Crime,Mystery,Thriller,,,114,Michael Caton-Jones,159,105,246,Indira Varma,844,Charlotte Rampling,31124,1899,Neil Maskell,1,drugs|murder|psychiatrist|scotland yard|sex,English,UK,729,4.2,764
Basquiat,NA,2962051,Drama,History,,,,108,Julian Schnabel,42,232,353,Michael Wincott,10000,Gary Oldman,15885,11459,Courtney Love,4,andy warhol|art|artist|friendship|street artist,English,USA,721,6.9,0
Bathing Beauty,NA,2361000,Comedy,Music,,,,101,George Sidney,8,24,226,Basil Rathbone,675,Esther Williams,1079,1627,Red Skelton,2,college|teacher|theatrical producer|tutu|wedding,English,USA,659,6.5,144
Batman,"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",35000000,Fantasy,Action,,,,126,Tim Burton,186,13000,488,Jack Palance,920,Michael Gough,269033,2725,William Hootkins,0,city|dc comics|gotham|pantyhose|police,English,USA,549,7.6,12000
Batman,NA,1377800,Family,Adventure,Comedy,Science Fiction,Crime,105,Tim Burton,186,13000,488,Jack Palance,920,Michael Gough,269033,2725,William Hootkins,0,city|dc comics|gotham|pantyhose|police,English,USA,549,7.6,12000
Batman & Robin,"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",125000000,Action,Crime,Fantasy,,,125,Joel Schumacher,183,541,409,Vivica A. Fox,920,Michael Gough,189855,2699,John Glover,3,butler|critically bashed|cure|freeze|gotham,English,USA,890,3.7,0
Batman Begins,"{'id': 263, 'name': 'The Dark Knight Collection', 'poster_path': '/bqS2lMgGkuodIXtDILFWTSWDDpa.jpg', 'backdrop_path': '/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg'}",150000000,Action,Crime,Drama,,,140,Christopher Nolan,478,22000,11000,Liam Neeson,23000,Christian Bale,980946,59558,Morgan Freeman,0,armored car|gangster|gotham|mixed martial arts|social decay,English,USA,14000,8.3,15000
Batman Forever,"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",100000000,Action,Crime,Fantasy,,,121,Joel Schumacher,144,541,680,Rene Auberjonois,920,Michael Gough,190786,2880,Debi Mazar,4,love|necktie|partner|rock music|tuxedo,English,USA,710,5.4,0
