title,belongs_to_collection,budget,genre1,genre2,genre3,genre4,genre5,popularity,production_companies_1,production_companies_2,month,day,year,release_date,revenue,runtime,director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,language,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
American Pie 2,"{'id': 2806, 'name': 'American Pie Collection', 'poster_path': '/twY1eM88fu8CCGVtem5ItlrgeDA.jpg', 'backdrop_path': '/3ptXtaqzAZlMXn3nZxaYke4anmK.jpg'}",30000000,Comedy,Romance,,,,10.25103,Universal Pictures,Liveplanet,8,10,2001,8/10/2001,287553595,108,J.B. Rogers,142,6,1000,Shannon Elizabeth,3000,Alyson Hannigan,200260,7872,Natasha Lyonne,0,beach|beach house|college|party|student,English,United States,1000,6.4,0
American Psycho,"{'id': 86105, 'name': 'American Psycho Collection', 'poster_path': '/ko4O9lcRGYOZAF5Hh79Mfsgjpun.jpg', 'backdrop_path': '/5nrkaUQe4m3FLYJrFPGnkMGeQXD.jpg'}",7000000,Thriller,Drama,Crime,,,13.686715,Lions Gate Films,Edward R. Pressman Film,4,13,2000,4/13/2000,34266564,102,Mary Harron,288,126,517,Justin Theroux,23000,Christian Bale,357275,25462,Samantha Mathis,1,1980s|business card|male rear nudity|materialism|narcissism,English,United States,1000,7.6,18000
American Reunion,"{'id': 2806, 'name': 'American Pie Collection', 'poster_path': '/twY1eM88fu8CCGVtem5ItlrgeDA.jpg', 'backdrop_path': '/3ptXtaqzAZlMXn3nZxaYke4anmK.jpg'}",50000000,Comedy,,,,,8.10609,Universal Pictures,,4,4,2012,4/4/2012,234989584,113,Jon Hurwitz,291,22,1000,Dania Ramirez,3000,Alyson Hannigan,172112,8398,Natasha Lyonne,7,bikini|female female kiss|high school reunion|outdoor sex|upskirt,English,United States,1000,6.7,39000
American Sniper,NA,58800000,War,Action,,,,19.228561,Village Roadshow Pictures,Malpaso Productions,12,11,2014,12/11/2014,542307423,133,Clint Eastwood,490,16000,318,Leonard Roberts,14000,Bradley Cooper,325264,16277,Keir O'Donnell,0,assassin|death of child|iraq|sniper|sniper rifle,English,United States,962,7.3,112000
American Splendor,NA,0,Comedy,Drama,,,,7.05435,,,8,15,2003,8/15/2003,6003587,101,Shari Springer Berman,180,30,92,James Urbaniak,14000,Josh Hutcherson,41999,14412,Daniel Tay,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,English,United States,119,7.5,0
American Wedding,"{'id': 2806, 'name': 'American Pie Collection', 'poster_path': '/twY1eM88fu8CCGVtem5ItlrgeDA.jpg', 'backdrop_path': '/3ptXtaqzAZlMXn3nZxaYke4anmK.jpg'}",55000000,Comedy,Romance,,,,14.397139,Universal Pictures,Zide-Perry Productions,8,1,2003,8/1/2003,231449203,103,Jesse Dylan,153,58,729,Thomas Ian Nicholas,3000,Alyson Hannigan,162331,5713,Fred Willard,3,bachelor party|blow job|breasts|friend|wedding,English,United States,864,6.3,0
Amigo,NA,1200000,Drama,History,War,,,1.202218,"s Convention Films"", ",,7,14,2010,7/14/2010,0,128,John Sayles,35,407,7,John Arcilla,38,Brian Lee Franklin,463,60,Ronnie Lazaro,0,american|filipino|friendship|guerrilla army|village,English,United States,8,5.8,594
Amistad,NA,36000000,Drama,History,Mystery,,,2.263584,DreamWorks SKG,,12,3,1997,12/3/1997,74000000,155,Steven Spielberg,77,14000,11000,Morgan Freeman,12000,Anthony Hopkins,56509,37570,Matthew McConaughey,2,courtroom|mutiny|ship|slave ship|slave trade,English,United States,11000,7.2,0
Amnesiac,NA,3000000,Thriller,Mystery,Drama,Horror,,4.650079,Infra-Red Pictures,,8,14,2015,8/14/2015,0,90,Michael Polish,30,35,21,Patrick Bauchau,216,Olivia Rose Keegan,2157,423,Mia Barron,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,English,United States,158,4.3,421
Amour,NA,8900000,Drama,Romance,,,,7.663947,Les Films du Losange,Wega Film,7,1,2012,7/1/2012,29844753,127,Michael Haneke,447,0,319,Emmanuelle Riva,678,Isabelle Huppert,70382,1557,Jean-Louis Trintignant,1,aging|daughter|old couple|old love|stroke,French,France,432,7.9,33000
An American Carol,NA,20000000,Comedy,Fantasy,,,,2.151159,Mpower Pictures,,10,3,2008,10/3/2008,7000000,83,David Zucker,45,119,633,Geoffrey Arend,885,Chriss Anglin,8560,2907,Gary Coleman,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,English,United States,816,4.3,797
An Education,NA,7500000,Drama,Romance,,,,8.593196,BBC Films,,10,29,2009,10/29/2009,26096852,100,Lone Scherfig,278,92,221,Olivia Williams,3000,Dominic Cooper,112138,4198,Ellie Kendrick,0,1960s|age difference|france|loss of virginity|oxford,English,United Kingdom,766,7.3,12000
An Ideal Husband,NA,14000000,Drama,Comedy,Romance,,,3.873796,Miramax Films,Pyramide Productions,4,15,1999,4/15/1999,18535191,97,Oliver Parker,105,32,327,Rupert Everett,893,Minnie Driver,12980,2640,Jeremy Northam,3,bachelor|blackmail|character says i love you|flirting|social satire,English,United Kingdom,692,6.9,646
An Inconvenient Truth,NA,1000000,Documentary,,,,,6.684925,Lawrence Bender Productions,Paramount Classics,1,24,2006,1/24/2006,46243000,100,Davis Guggenheim,372,49,NA,Al Gore,861,Billy West,67654,929,NA,0,climate|earth|global warming|science|truth,English,United States,68,7.5,0
An Unfinished Life,NA,30000000,Drama,,,,,7.761954,Miramax Films,Revolution Studios,9,9,2005,9/9/2005,18618284,108,Lasse Hallström,107,529,83,Camryn Manheim,11000,Morgan Freeman,24033,11519,Lynda Boyd,3,abusive boyfriend|bear|car accident|ranch|wyoming,English,United States,329,7,0
Anaconda,"{'id': 105995, 'name': 'Anaconda Collection', 'poster_path': '/sENQAlXOhOb2QmfpFl2w34W9ODP.jpg', 'backdrop_path': '/uR7j2TEwJVCMz7CDJgNPuhty4J9.jpg'}",45000000,Adventure,Horror,Thriller,,,14.386089,Columbia Pictures Corporation,Middle Fork Productions,4,11,1997,4/11/1997,136885767,89,Luis Llosa,119,49,514,Eric Stoltz,2000,Frank Welker,73539,3717,Kari Wuhrer,0,amazon|anaconda|boat|jungle|snake,English,United States,902,4.6,0
Anacondas: The Hunt for the Blood Orchid,"{'id': 105995, 'name': 'Anaconda Collection', 'poster_path': '/sENQAlXOhOb2QmfpFl2w34W9ODP.jpg', 'backdrop_path': '/uR7j2TEwJVCMz7CDJgNPuhty4J9.jpg'}",20000000,Adventure,Action,Horror,Science Fiction,Thriller,10.749404,Screen Gems,Middle Fork Productions,8,26,2004,8/26/2004,70992898,97,Dwight H. Little,94,27,522,Salli Richardson-Whitfield,601,Nicholas Gonzalez,22243,2730,Johnny Messner,0,anaconda|blood|borneo|flower|orchid,English,United States,543,4.6,686
Analyze That,"{'id': 110127, 'name': 'Analyze Collection', 'poster_path': '/cujx4R1DmJdjIdiCWtQULIvCyix.jpg', 'backdrop_path': '/bNcKGfgqck8SQALVlZcMRcjOwBE.jpg'}",60000000,Comedy,Crime,,,,9.927412,Village Roadshow Pictures,NPV Entertainment,12,6,2002,12/6/2002,55003135,96,Harold Ramis,105,11000,236,Cathy Moriarty,22000,Robert De Niro,69319,22889,Joe Viterelli,1,blonde|mafia|mental illness|prison|second part,English,United States,394,5.9,846
Analyze This,"{'id': 110127, 'name': 'Analyze Collection', 'poster_path': '/cujx4R1DmJdjIdiCWtQULIvCyix.jpg', 'backdrop_path': '/bNcKGfgqck8SQALVlZcMRcjOwBE.jpg'}",80000000,Comedy,Crime,,,,7.634017,Spring Creek Productions,Warner Bros.,3,5,1999,3/5/1999,176885658,103,Harold Ramis,145,11000,636,Chazz Palminteri,22000,Robert De Niro,123940,24333,Molly Shannon,2,analyst|mafia|patient|psychiatrist|wedding,English,United States,979,6.7,0
Anastasia,NA,3520000,Drama,Comedy,Romance,,,3.504149,Twentieth Century Fox Film Corporation,,12,13,1956,12/13/1956,0,105,Don Bluth,78,383,753,Kelsey Grammer,4000,Kirsten Dunst,86347,6017,Bernadette Peters,1,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,English,United States,808,7.1,0
Anastasia,NA,53000000,Animation,Family,,,,11.911173,Twentieth Century Fox Film Corporation,Fox Animation Studios,11,20,1997,11/20/1997,139804348,94,Don Bluth,78,383,753,Kelsey Grammer,4000,Kirsten Dunst,86347,6017,Bernadette Peters,1,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,English,United States,808,7.1,0
Anchorman 2: The Legend Continues,"{'id': 93791, 'name': 'Anchorman Collection', 'poster_path': '/xjnbrB93Vj5yGYwU0uuW8Tu2qoc.jpg', 'backdrop_path': '/eUU6edsZcr7I0AO8rHcB3vQwcOH.jpg'}",50000000,Comedy,,,,,7.600751,Paramount Pictures,Gary Sanchez Productions,12,18,2013,12/18/2013,173649015,119,Adam McKay,272,285,7000,Will Ferrell,11000,Harrison Ford,131227,28176,Steve Carell,2,fame|father son relationship|interracial kiss|interracial relationship|interracial sex,English,United States,8000,6.3,41000
Anchorman: The Legend of Ron Burgundy,"{'id': 93791, 'name': 'Anchorman Collection', 'poster_path': '/xjnbrB93Vj5yGYwU0uuW8Tu2qoc.jpg', 'backdrop_path': '/eUU6edsZcr7I0AO8rHcB3vQwcOH.jpg'}",26000000,Comedy,,,,,10.33012,Apatow Productions,,7,9,2004,7/9/2004,90574188,94,Adam McKay,181,285,7000,Will Ferrell,640000,Darcy Donavan,267921,656730,Steve Carell,5,1970s|anchorman|news anchor|newsroom|tv station,English,United States,8000,7.2,0
And So It Goes,NA,18000000,Comedy,Drama,Romance,,,7.69684,Castle Rock Entertainment,Envision Entertainment,7,20,2014,7/20/2014,25312387,94,Rob Reiner,107,0,197,Annie Parisse,712,Yaya DaCosta,8895,1673,Frankie Valli,2,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,English,United States,341,5.7,3000
Angel Eyes,NA,53000000,Drama,Romance,Thriller,,,5.3962,Epsilon Motion Pictures,Morgan Creek Productions,5,15,2001,5/15/2001,29700000,102,Luis Mandoki,106,43,280,Shirley Knight,308,Sonia Braga,19686,1440,Kari Matchett,0,apartment|fate|gun|love|mysterious man,English,United States,285,5.6,689
Angela's Ashes,NA,25,Drama,,,,,4.496585,Paramount Pictures,Universal Pictures,12,25,1999,12/25/1999,13,145,Alan Parker,99,317,70,Devon Murray,876,Emily Watson,16995,1282,Pauline McLynn,1,drink|ira|irish|limerick|prejudice,English,United States,219,7.3,0
Angels & Demons,"{'id': 115776, 'name': 'Robert Langdon Collection', 'poster_path': '/mZDeXsVhBxnWD3tGOQ69vKS3WYL.jpg', 'backdrop_path': '/j1IqpLhCypllamjKe6C2RstjfEQ.jpg'}",150000000,Thriller,Mystery,,,,22.211558,Columbia Pictures,Imagine Entertainment,5,13,2009,5/13/2009,356613439,138,Ron Howard,298,2000,294,Ayelet Zurer,15000,Tom Hanks,207839,16948,Armin Mueller-Stahl,2,conclave|illuminati|murder|reference to bernini|reference to raphael,English,United States,745,6.7,0
Anger Management,NA,75000000,Comedy,,,,,9.409379,Columbia Pictures,Revolution Studios,4,11,2003,4/11/2003,195745823,106,NA,26,NA,676,Noureen DeWulf,883,Barry Corbin,26992,4115,Brian Austin Green,1,anger management|argument|irony|sarcasm|therapist,English,United States,701,6.7,0
Animal House,NA,2700000,Comedy,,,,,7.525382,Universal Pictures,Oregon Film Factory,7,27,1978,7/27/1978,141000000,109,John Landis,94,644,559,Karen Allen,1000,John Belushi,90177,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,English,United States,783,7.6,0
Animal Kingdom,NA,5000000,Drama,Thriller,Crime,,,9.649312,Porchlight Films,,6,3,2010,6/3/2010,1000000,113,NA,8,NA,551,Daniella Alonso,1000,Dorian Missick,3673,3026,Ellen Barkin,0,based on film|brother brother relationship|crime family|remake|southern california,English,United States,557,8.1,0
Animals,NA,5500000,Horror,Thriller,,,,5.27828,Anonymous Content,T&C Pictures,11,5,2008,11/5/2008,0,88,Collin Schiffli,22,4,290,John Heard,934,Kim Shaw,605,2030,David Dastmalchian,0,drug addict|drug addiction|drug use|drugs|junkie,English,United States,697,6.2,679
Anna and the King,NA,75000000,Drama,History,Romance,,,17.65016,Fox 2000 Pictures,,12,16,1999,12/16/1999,0,148,Andy Tennant,91,72,99,Geoffrey Palmer,582,Bai Ling,31080,804,Randall DUnited Kingdom Kim,2,1860s|children|king|schoolteacher|siam,English,United States,103,6.7,0
Anna Karenina,NA,0,Drama,Romance,,,,8.543311,Universal Pictures,Focus Features,9,6,2012,9/6/2012,68929150,130,Joe Wright,324,456,0,Guro Nagelhus Schia,2000,Kelly Macdonald,70886,2035,Matthew Macfadyen,1,dance|infidelity|marriage|russia|russian,English,United Kingdom,35,6.6,36000
Anna Karenina,NA,1152000,Drama,Romance,,,,1.810574,Metro-Goldwyn-Mayer (MGM),,8,30,1935,8/30/1935,1439000,95,Joe Wright,324,456,0,Guro Nagelhus Schia,2000,Kelly Macdonald,70886,2035,Matthew Macfadyen,1,dance|infidelity|marriage|russia|russian,English,United Kingdom,35,6.6,36000
Anna Karenina,NA,35000000,Drama,Romance,,,,5.660835,Icon Entertainment International,Warner Bros.,4,4,1997,4/4/1997,791830,108,Joe Wright,324,456,0,Guro Nagelhus Schia,2000,Kelly Macdonald,70886,2035,Matthew Macfadyen,1,dance|infidelity|marriage|russia|russian,English,United Kingdom,35,6.6,36000
Annabelle,"{'id': 402074, 'name': 'Annabelle Collection', 'poster_path': '/zJfExJWUgugWziREAikeAW69poY.jpg', 'backdrop_path': '/AbTHMNaeUO8rUcRZf5J6MRfZE6v.jpg'}",6500000,Horror,,,,,23.242452,New Line Cinema,The Safran Company,10,2,2014,10/2/2014,255273813,99,John R. Leonetti,271,40,300,Annabelle Wallis,1000,Alfre Woodard,81699,2323,Gabriel Bateman,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,English,United States,421,5.4,45000
Annie,NA,65000000,Comedy,Drama,Family,,,13.275529,Columbia Pictures,Olive Bridge Entertainment,12,19,2014,12/19/2014,133821816,119,Will Gluck,176,87,929,Dorian Missick,2000,Quvenzhané Wallis,24735,4796,David Zayas,6,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,English,United States,1000,5.2,16000
Annie,"{'id': 312735, 'name': 'Annie Collection', 'poster_path': '/gKQghFIfPL7aviK7OonirYgnaMa.jpg', 'backdrop_path': None}",50000000,Comedy,Drama,Family,Music,,8.997507,Columbia Pictures,Rastar Pictures,6,18,1982,6/18/1982,57059003,127,Will Gluck,176,87,929,Dorian Missick,2000,Quvenzhané Wallis,24735,4796,David Zayas,6,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,English,United States,1000,5.2,16000
Annie Get Your Gun,NA,3768785,Action,Comedy,Music,Romance,Western,2.090588,Metro-Goldwyn-Mayer (MGM),,5,17,1950,5/17/1950,8000000,107,George Sidney,21,24,83,Howard Keel,277,Keenan Wynn,3167,731,Betty Hutton,0,girl|gun|love|sharpshooter|the end,English,United States,244,7,456
Annie Hall,NA,4000000,Comedy,Drama,Romance,,,18.146043,United Artists,,4,19,1977,4/19/1977,38251425,93,Woody Allen,154,11000,629,Carol Kane,11000,Woody Allen,192940,12691,Shelley Duvall,0,breaking the fourth wall|comedian|jewish|neurosis|singer,English,United States,636,8.1,0
Anomalisa,NA,8000000,Animation,Comedy,Drama,Romance,,10.428421,Starburns Industries,,12,30,2015,12/30/2015,5659286,90,DUnited Kingdome Johnson,328,26,0,Tom Noonan,1000,Jennifer Jason Leigh,31489,1442,David Thewlis,0,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,English,United States,442,7.3,0
Anonymous,NA,30000000,Drama,History,Thriller,,,13.413895,Columbia Pictures,Centropolis Entertainment,10,21,2011,10/21/2011,15395087,130,Roland Emmerich,288,776,358,Joely Richardson,898,Vanessa Redgrave,34488,2452,Rafe Spall,3,earl of oxford|play|queen|rebellion|shakespeare play,English,United Kingdom,584,6.9,15000
Another Earth,NA,100000,Drama,Science Fiction,,,,8.957372,Artists Public Domain,,7,22,2011,7/22/2011,1776935,92,Mike Cahill,242,135,259,William Mapother,574,Robin Lord Taylor,71387,1303,Flint Beverage,1,duplicate earth|janitor|planet|solar system|synchronicity,English,United States,399,7,21000
Another Happy Day,NA,4000000,Comedy,Drama,,,,3.496577,Filmula,,11,18,2011,11/18/2011,355688,119,Sam Levinson,46,8,2000,Ezra Miller,3000,George Kennedy,3297,10984,Demi Moore,4,countryside|marriage|maryland|United States|wedding,English,United States,3000,6,798
Another Year,NA,8000000,Comedy,Drama,,,,5.000657,Film4,Thin Man Films,11,5,2010,11/5/2010,18124262,129,Mike Leigh,248,608,386,Imelda Staunton,1000,Jim Broadbent,23629,2265,Phil Davis,0,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,English,United Kingdom,579,7.3,0
Ant-Man,"{'id': 422834, 'name': 'Ant-Man Collection', 'poster_path': '/lEdpEJWJdtVLgmpPkXSTd2xczmY.jpg', 'backdrop_path': '/2KjtWUBiksmN8LsUouaZnxocu5N.jpg'}",130000000,Science Fiction,Action,Adventure,,,26.882388,Marvel Studios,,7,14,2015,7/14/2015,519311965,117,Peyton Reed,517,235,680,Hayley Atwell,2000,Judy Greer,313866,5730,T.I.,6,ant|chinatown san francisco|heist|sabotage|vault,English,United States,2000,7.4,61000
Antarctica: A Year on Ice,NA,1000000,Drama,Adventure,Documentary,,,3.146793,Antzworks,,9,5,2013,9/5/2013,0,92,Anthony Powell,31,9,9,Tom Hamann,53,Josh Swanson,2482,86,Anthony Powell,1,antarctica,English,New Zealand,24,7.6,0
Antibirth,NA,35000000,Horror,,,,,10.629806,Hideaway Pictures,Traverse Media,9,2,2016,9/2/2016,0,94,Danny Perez,10,0,442,Emmanuel Kabongo,1000,Natasha Lyonne,63,2406,Mark Webber,1,NA,English,United States,677,6.3,89
Antitrust,NA,30000000,Action,Crime,Drama,,,8.142166,Industry Entertainment,Epsilon Motion Pictures,1,12,2001,1/12/2001,18195610,108,Peter Howitt,123,29,91,Richard Roundtree,779,Tyler Labine,25558,1297,Ned Bellamy,2,boss|communications|computer|genius|job,English,United States,240,6.1,0
Antiviral,NA,2400000,Science Fiction,Horror,,,,10.540581,Alliance Films,Telefilm Canada,9,19,2012,9/19/2012,0,110,Brandon Cronenberg,188,43,463,Douglas Smith,691,Sarah Gadon,9356,1962,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,English,Canada,480,5.7,0
Antwone Fisher,NA,12500000,Drama,Romance,,,,10.944654,Fox Searchlight Pictures,Mundy Lane Entertainment,12,19,2002,12/19/2002,23367586,120,Denzel Washington,121,18000,543,Kevin Connolly,18000,Denzel Washington,26493,20456,Derek LUnited Kingdome,0,black american|extortion|navy|psychiatrist|sailor,English,United States,638,7.3,0
Antz,NA,60000000,Adventure,Animation,Comedy,Family,,16.025625,DreamWorks SKG,Pacific Data Images (PDI),10,2,1998,10/2/1998,171757863,83,Eric Darnell,131,35,754,Woody Allen,13000,Sylvester Stallone,124641,25788,Anne Bancroft,0,ant|friend|princess|soldier|worker,English,United States,11000,6.6,0
Any Given Sunday,NA,55000000,Drama,,,,,10.571434," Company"", ",", ",12,16,1999,12/16/1999,100230832,163,Oliver Stone,171,0,1000,Dennis Quaid,14000,Al Pacino,97047,20761,LL Cool J,5,breasts|coach|football|in medias res|vomiting,English,United States,2000,6.8,0
Anywhere But Here,NA,23000000,Drama,Comedy,Romance,,,12.593734,Twentieth Century Fox Film Corporation,Fox 2000 Pictures,11,12,1999,11/12/1999,18653615,114,Wayne Wang,36,61,407,Eva Amurri Martino,20000,Natalie Portman,14786,22040,Shawn Hatosy,2,family relationships|female protagonist|nubile woman|policeman|teenager,English,United States,797,6.1,638
Apocalypse Now,NA,31500000,Drama,War,,,,13.5963,United Artists,Zoetrope Studios,8,15,1979,8/15/1979,89460381,153,Francis Ford Coppola,261,0,3000,Marlon Brando,11000,Harrison Ford,450676,25313,Robert Duvall,1,army|green beret|insanity|jungle|vietnam,English,United States,10000,8.5,19000
Apocalypto,NA,40000000,Action,Adventure,Drama,Thriller,,7.735233,Icon Productions,Icon Entertainment International,12,7,2006,12/7/2006,120175290,139,Mel Gibson,283,0,19,Dalia Hernández,708,Rudy Youngblood,236000,848,Jonathan Brewer,0,jaguar|mayan|solar eclipse|tribe|village,Maya,United States,78,7.8,14000
Apollo 13,NA,52000000,Drama,,,,,18.761467,Imagine Entertainment,Universal Pictures,6,30,1995,6/30/1995,355237933,140,Ron Howard,159,2000,552,Miko Hughes,15000,Tom Hanks,208817,17171,Kathleen Quinlan,0,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,English,United States,968,7.6,5000
Apollo 18,NA,5000000,Horror,Thriller,Science Fiction,,,10.711742,Bazelevs Production,Dimension Films,7,20,2011,7/20/2011,25562924,86,Gonzalo López-Gallego,228,17,205,Ryan Robbins,520,Warren Christie,47227,1520,Andrew Airlie,0,cosmonaut|footprint|found footage|moon|secret mission,English,United States,270,5.2,0
Appaloosa,NA,20000000,Drama,Western,Crime,,,12.392754,New Line Cinema,Groundswell Productions,9,12,2008,9/12/2008,20211394,115,Ed Harris,190,0,107,James Gammon,10000,Viggo Mortensen,50198,10507,Tom Bower,0,deputy|friend|hanging|rancher|widow,English,United States,311,6.8,0
April Fool's Day,NA,5000000,Horror,Mystery,,,,10.301342,Paramount Pictures,Hometown Films,3,27,1986,3/27/1986,0,89,Fred Walton,96,17,85,Deborah Foreman,690,Thomas F. Wilson,10624,1160,Clayton Rohner,0,april fool's day|island|mansion|psycho|secret,English,United States,190,6.2,0
April Fool's Day,NA,5000000,Horror,,,,,1.44619,360 Pictures,,3,25,2008,3/25/2008,0,91,Fred Walton,96,17,85,Deborah Foreman,690,Thomas F. Wilson,10624,1160,Clayton Rohner,0,april fool's day|island|mansion|psycho|secret,English,United States,190,6.2,0
Aquamarine,NA,12000000,Fantasy,Romance,Family,Comedy,,11.29062,Fox 2000 Pictures,Storefront Pictures,3,3,2006,3/3/2006,23006849,104,Elizabeth Allen Rosenbaum,66,20,717,Joanna 'JoJo' Levesque,836,Tammin Sursok,30462,3963,Dichen Lachman,3,beach|love|mermaid|storm|swimming,English,United States,826,5.3,0
Arachnophobia,NA,31000000,Comedy,Horror,,,,5.418428,Amblin Entertainment,Hollywood Pictures,8,9,1990,8/9/1990,53208180,103,Frank Marshall,74,155,125,Peter Jason,687,Julian Sands,50389,1440,Brian McNamara,0,arachnophobia|death|doctor|small town|spider,English,United States,151,6.3,0
Arbitrage,NA,12000000,Drama,Thriller,,,,5.808496,Lionsgate,Artina Films,9,14,2012,9/14/2012,35485056,100,Nicholas Jarecki,288,27,360,Curtiss Cook,664,Nate Parker,41574,2440,Reg E. Cathey,1,accidental death|dead woman|dead woman with eyes open|death of mistress|manager,English,United States,591,6.6,0
Are We There Yet?,"{'id': 176118, 'name': 'The Are We Collection', 'poster_path': '/fyQ1tpTvag7IXBJOhltUomI4LUv.jpg', 'backdrop_path': '/uZRixx529cMcwqmYW5xGFIso7Q3.jpg'}",32000000,Adventure,Comedy,Family,Romance,,9.756822,Columbia Pictures,Revolution Studios,1,20,2005,1/20/2005,97918663,95,Brian Levant,75,32,563,Tracy Morgan,826,Nia Long,22679,3558,Jay Mohr,2,car fire|children|cockroach|independent film|new year,English,United States,642,4.6,773
Area 51,NA,5000000,Horror,Thriller,Science Fiction,,,6.055594,Insurge Pictures,,5,15,2015,5/15/2015,0,91,Oren Peli,56,110,14,Sandra Staggs,46,Glenn Campbell,7888,117,Jelena Nik,0,alien|alien abduction|conspiracy|secret base|ufo,English,United States,21,4.2,0
Argo,NA,44500000,Drama,Thriller,,,,14.238234,GK Films,Warner Bros.,10,11,2012,10/11/2012,232324128,120,Ben Affleck,656,0,650,Scoot McNairy,1000,Clea DuVall,452465,3133,Tate Donovan,1,1970s|cia|f word|u.s. embassy|year 1979,English,United States,660,7.7,89000
Arlington Road,NA,21500000,Drama,Thriller,Mystery,,,8.605659,Lakeshore Entertainment,Screen Gems,3,19,1999,3/19/1999,0,117,Mark Pellington,155,89,442,Spencer Treat Clark,12000,Jeff Bridges,69980,13576,Hope Davis,1,death|fbi|fbi agent|neighbor|professor,English,United States,541,7.2,0
Armageddon,NA,140000000,Action,Thriller,Science Fiction,Adventure,,13.235112,Jerry Bruckheimer Films,Touchstone Pictures,7,1,1998,7/1/1998,553799566,151,Michael Bay,167,0,537,Steve Buscemi,13000,Bruce Willis,322395,26029,Will Patton,0,asteroid|astronaut|bomb|meteorite|outer space,English,United States,12000,6.6,11000
Armored,NA,20000000,Action,Crime,Drama,Thriller,,9.951662,Screen Gems,Stars Road Entertainment,12,4,2009,12/4/2009,22942221,88,Nimród Antal,107,190,163,Fred Ward,137000,Andrew Fiscella,26236,137712,Lorna Raver,6,armored truck|blood splatter|die hard scenario|guard|heist,English,United States,459,5.7,0
Army of Darkness,"{'id': 1960, 'name': 'Evil Dead Collection', 'poster_path': '/eWFADubShlTEUiNsPcN6BMOKakr.jpg', 'backdrop_path': '/jrLLRe7pctP1aFDRuD9mt59YGHX.jpg'}",11000000,Fantasy,Horror,Comedy,,,10.704612,Universal Pictures,Renaissance Pictures,10,9,1992,10/9/1992,0,81,Sam Raimi,221,0,795,Bridget Fonda,901,Patricia Tallman,128850,3913,Embeth Davidtz,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,English,United States,888,7.6,10000
Arn: The Knight Templar,"{'id': 86797, 'name': 'Arn collection', 'poster_path': '/u0kbnJEC9w7amzPx0EZDv3NEyOG.jpg', 'backdrop_path': '/kRA2bnwEl2v5FaDwPQpnQyQtsZN.jpg'}",25000000,Action,Adventure,Drama,Romance,,7.294411,Danmarks Radio (DR),Telepool,12,17,2007,12/17/2007,0,139,Peter Flinth,34,5,292,Michael Nyqvist,908,Gustaf Skarsgård,18041,2762,Vincent Perez,1,first part|holy land|knight templar|monastery|sword and shield,Swedish,Sweden,690,6.6,0
Around the World in 80 Days,NA,110000000,Action,Adventure,Comedy,,,7.825072,Studio Babelsberg,Walden Media,6,16,2004,6/16/2004,72178895,120,Frank Coraci,188,153,447,Steve Coogan,1000,Jim Broadbent,68720,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,English,United States,1000,5.8,0
Around the World in 80 Days,NA,110000000,Action,Adventure,Comedy,,,7.825072,Studio Babelsberg,Walden Media,6,16,2004,6/16/2004,72178895,120,Frank Coraci,188,153,447,Steve Coogan,1000,Jim Broadbent,68722,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,English,United States,1000,5.8,0
Arthur,"{'id': 170754, 'name': 'Arthur Collection', 'poster_path': '/bdRCMpvyTX1zPR28GHcFjjA3LHt.jpg', 'backdrop_path': '/c0XFWONQ39hfOCJIg3FUuRoGgH0.jpg'}",7000000,Comedy,Drama,Romance,,,14.911301,Orion Pictures,,7,17,1981,7/17/1981,95461682,97,NA,3,NA,12,Melissa Altro,51,Bruce Dinsmore,8495,108,Daniel Brochu,0,based on children's book|best friend|character name in title|friend|one word title,English,Canada,21,7.4,301
Arthur,NA,40000000,Comedy,Romance,,,,9.698075,Warner Bros.,,4,8,2011,4/8/2011,45735397,110,NA,3,NA,12,Melissa Altro,51,Bruce Dinsmore,8495,108,Daniel Brochu,0,based on children's book|best friend|character name in title|friend|one word title,English,Canada,21,7.4,301
